Dataset,BatchSize,Threat,Source Model,Attack,standard TSR(FR),standard S_APR,standard S_total,standard median_norm,standard Optimality,zhang_2020_small TSR(FR),zhang_2020_small S_APR,zhang_2020_small S_total,zhang_2020_small median_norm,zhang_2020_small Optimality,stutz_2020 TSR(FR),stutz_2020 S_APR,stutz_2020 S_total,stutz_2020 median_norm,stutz_2020 Optimality,xiao_2020 TSR(FR),xiao_2020 S_APR,xiao_2020 S_total,xiao_2020 median_norm,xiao_2020 Optimality,wang_2023_small TSR(FR),wang_2023_small S_APR,wang_2023_small S_total,wang_2023_small median_norm,wang_2023_small Optimality,per-time,Average transfer optimality
cifar10,128,linf,zhang_2020_small,dr_fgm_minimal,91.5(0.13993040857622258),0.2415,22.1,0.148,0.698,97.3(0.4882861221696896),0.2559,24.91,0.0,0.848,99.3(0.13441860462594485),0.2915,28.96,0.014,0.907,97.4(0.28749929635971977),0.8852,86.21,0.052,0.755,92.7(0.14797734417968791),0.0254,2.36,0.216,0.783,0.001,0.786
cifar10,128,linf,zhang_2020_small,fb_fgm_minimal,91.5(0.13993040857622258),0.2415,22.1,0.148,0.698,97.3(0.4882861221696896),0.2559,24.91,0.0,0.848,99.3(0.13441860462594485),0.2915,28.96,0.014,0.907,97.4(0.28749929635971977),0.8852,86.21,0.052,0.755,92.7(0.14797734417968791),0.0254,2.36,0.216,0.783,0.001,0.786
cifar10,128,linf,zhang_2020_small,ta_fgsm_minimal,91.5(0.13993040857622258),0.2415,22.1,0.148,0.698,97.3(0.4882861221696896),0.2559,24.91,0.0,0.848,99.3(0.13441860462594485),0.2915,28.96,0.014,0.907,97.4(0.28749929635971977),0.8852,86.21,0.052,0.755,92.7(0.14797734417968791),0.0254,2.36,0.216,0.783,0.001,0.786
cifar10,128,linf,zhang_2020_small,fb_bim_minimal,99.5(0.09546176493385088),0.2184,21.74,0.179,0.671,99.9(0.4907812348328158),0.2577,25.74,0.0,0.93,99.9(0.13137835771323336),0.2806,28.04,0.015,0.912,99.9(0.2845367814990729),1.7347,173.31,0.056,0.76,99.7(0.11362164239326056),0.0216,2.16,0.255,0.736,0.007,0.77
cifar10,128,linf,zhang_2020_small,adv_lib_apgd_minimal,99.9(0.09273323234961546),0.0413,4.12,0.147,0.757,100.0(0.49087802420750504),0.2712,27.12,0.0,0.926,100.0(0.13126358880064176),0.2375,23.75,0.019,0.765,99.8(0.28750792408486897),12.4039,1237.72,0.092,0.697,99.8(0.11342276829822069),0.022,2.2,0.247,0.759,0.097,0.745
cifar10,128,linf,zhang_2020_small,original_ga_dmi_fgsm,98.7(0.10139172491048064),0.0135,1.33,0.4,0.574,96.1(0.4868556668865596),0.0181,1.74,0.0,0.837,70.3(0.2096633092584981),0.0195,1.37,0.2,0.38,99.8(0.28749754530722105),0.0151,1.51,0.2,0.716,96.9(0.12921132874321115),0.0129,1.25,0.4,0.725,0.007,0.599
cifar10,128,linf,zhang_2020_small,original_ga_tdmi_fgsm,99.2(0.0982574776432931),0.0138,1.36,0.4,0.318,95.5(0.4862618426853939),0.0179,1.71,0.0,0.824,73.2(0.20615625870810206),0.0195,1.43,0.2,0.063,99.8(0.28745789543950623),0.0151,1.51,0.2,0.616,97.2(0.12778004459436304),0.013,1.27,0.4,0.801,0.004,0.449
cifar10,128,linf,zhang_2020_small,original_ga_fgsm,10.6(0.12423760220064672),0.0697,0.74,100000.0,0.123,31.8(0.33001559568733685),0.1113,3.54,0.0,0.339,11.4(0.132022628641631),0.1872,2.14,100000.0,0.108,29.1(0.23535554718169818),0.0878,2.55,0.078,0.285,4.5(0.08480096810255457),0.0591,0.27,100000.0,0.061,0.008,0.144
cifar10,128,linf,stutz_2020,art_fgm_minimal,97.3(0.110669564673826),0.4857,47.23,0.052,0.93,88.8(0.4788108603766024),0.0959,8.51,0.0,0.887,100.0(0.1310915872532526),3.5484,354.84,0.001,0.634,96.4(0.2886468334623966),0.9427,90.85,0.094,0.829,95.0(0.1385718949042527),0.042,3.99,0.174,0.987,0.009,0.908
cifar10,128,linf,stutz_2020,ch_fgm_minimal,97.3(0.110669564673826),0.4857,47.23,0.052,0.93,88.8(0.4788108603766024),0.0959,8.51,0.0,0.887,100.0(0.1310915872532526),3.5484,354.84,0.001,0.634,96.4(0.2886468334623966),0.9427,90.85,0.094,0.829,95.0(0.1385718949042527),0.042,3.99,0.174,0.987,0.008,0.908
cifar10,128,linf,stutz_2020,dr_fgm_minimal,97.3(0.110669564673826),0.4857,47.23,0.052,0.93,88.8(0.4788108603766024),0.0959,8.51,0.0,0.887,100.0(0.1310915872532526),3.5484,354.84,0.001,0.634,96.4(0.2886468334623966),0.9427,90.85,0.094,0.829,95.0(0.1385718949042527),0.042,3.99,0.174,0.987,0.008,0.908
cifar10,128,linf,stutz_2020,fb_fgm_minimal,97.3(0.110669564673826),0.4857,47.23,0.052,0.93,88.8(0.4788108603766024),0.0959,8.51,0.0,0.887,100.0(0.1310915872532526),3.5484,354.84,0.001,0.634,96.4(0.2886468334623966),0.9427,90.85,0.094,0.829,95.0(0.1385718949042527),0.042,3.99,0.174,0.987,0.008,0.908
cifar10,128,linf,stutz_2020,ta_fgsm_minimal,97.3(0.110669564673826),0.4857,47.23,0.052,0.93,88.8(0.4788108603766024),0.0959,8.51,0.0,0.887,100.0(0.1310915872532526),3.5484,354.84,0.001,0.634,96.4(0.2886468334623966),0.9427,90.85,0.094,0.829,95.0(0.1385718949042527),0.042,3.99,0.174,0.987,0.008,0.908
cifar10,128,linf,stutz_2020,ch_pgd_minimal,95.6(0.12025014112881534),0.3569,34.12,0.084,0.827,93.1(0.48388791012732985),0.049,4.56,0.0,0.895,100.0(0.1310915872532526),4.9354,493.54,0.001,0.825,98.3(0.2865119349762358),3.0511,299.85,0.184,0.685,93.7(0.14398091069957136),0.0243,2.28,0.207,0.936,0.277,0.836
cifar10,128,linf,stutz_2020,ta_apgd_minimal,98.1(0.10557982052712583),0.3615,35.45,0.104,0.787,96.6(0.48781949234538535),0.0376,3.64,0.0,0.859,100.0(0.1310915872532526),7.2659,726.59,0.001,0.995,99.5(0.28504550076036383),0.2447,24.35,0.165,0.769,93.7(0.14393586795286364),0.022,2.06,0.239,0.899,0.73,0.829
cifar10,128,linf,stutz_2020,original_apgd_minimal,98.0(0.10613110367446803),0.3617,35.44,0.105,0.786,96.7(0.48786340839847614),0.037,3.58,0.0,0.859,100.0(0.1310915872532526),7.2659,726.59,0.001,0.995,99.5(0.2850932857988762),0.2432,24.19,0.172,0.768,93.7(0.1439819918556427),0.0219,2.06,0.24,0.899,0.73,0.828
cifar10,128,linf,stutz_2020,art_bim_minimal,95.4(0.12167753799909438),0.0704,6.71,0.112,0.777,89.4(0.4791964979414979),0.0512,4.57,0.0,0.836,100.0(0.1310915872532526),5.2161,521.61,0.001,0.829,97.5(0.2901166859270231),11.2,1091.76,0.201,0.723,93.8(0.14352142227720172),0.0212,1.99,0.25,0.89,0.772,0.806
cifar10,128,linf,stutz_2020,art_pgd_minimal,95.5(0.12075921549190168),0.0742,7.08,0.114,0.764,87.5(0.4769912419199336),0.0509,4.45,0.0,0.827,100.0(0.1310915872532526),5.0633,506.33,0.001,0.828,94.3(0.29065040907877177),1.8881,178.03,0.205,0.67,93.7(0.14388685752546376),0.0211,1.98,0.251,0.885,0.275,0.786
cifar10,128,linf,stutz_2020,adv_lib_apgd_minimal,99.5(0.09602075390822941),0.0494,4.91,0.125,0.704,96.2(0.4871381789949686),0.0504,4.85,0.0,0.81,100.0(0.1310915872532526),8.7414,874.14,0.001,0.982,99.0(0.2885051630357039),7.0026,693.05,0.235,0.656,93.6(0.14447516709337307),0.0183,1.71,0.277,0.859,0.734,0.757
