Dataset;$\ell_p$;Source Model;Library;Attack Name;C1 ASR;C1 Optimality;C2 ASR;C2 Optimality;C3 ASR;C3 Optimality;C4 ASR;C4 Optimality;C5 ASR;C5 Optimality;C6  ASR;C6 Optimality;C7 ASR;C7 Optimality
cifar10;$\ell_\infty$;C1;ART;\hornetwrap{FGM};99.8;0.573;87.6;0.876;99.8;0.908;94.8;0.753;94.7;0.971;45.6;0.397;47.9;0.434
cifar10;$\ell_\infty$;C1;CleverHans;\hornetwrap{FGM};99.8;0.573;87.6;0.876;99.8;0.908;94.8;0.753;94.7;0.971;;;;
cifar10;$\ell_\infty$;C1;DeepRobust;\hornetwrap{FGM};99.8;0.573;87.6;0.876;99.8;0.908;94.8;0.753;94.7;0.971;;;;
cifar10;$\ell_\infty$;C1;Foolbox;\hornetwrap{FGM};99.8;0.573;87.6;0.876;99.8;0.908;94.8;0.753;94.7;0.971;;;;
cifar10;$\ell_\infty$;C1;Torchattacks;\hornetwrap{FGSM};99.8;0.573;87.6;0.876;99.8;0.908;94.8;0.753;94.7;0.971;;;;
cifar10;$\ell_\infty$;C1;Original;\hornetwrap{APGD};100.0;0.997;98.8;0.83;100.0;0.938;99.7;0.733;93.9;0.882;70.2;0.683;53.9;0.519
cifar10;$\ell_\infty$;C1;Torchattacks;\hornetwrap{APGD};100.0;0.997;98.8;0.829;100.0;0.937;99.7;0.733;94.0;0.882;;;;
cifar10;$\ell_\infty$;C1;ART;\hornetwrap{BIM};100.0;0.727;90.0;0.817;99.9;0.931;96.6;0.727;94.2;0.903;65.0;0.621;52.4;0.498
cifar10;$\ell_\infty$;C1;ART;\hornetwrap{PGD};100.0;0.726;86.7;0.8;99.9;0.93;91.5;0.684;94.2;0.903;58.0;0.546;52.7;0.502
cifar10;$\ell_\infty$;C1;AdvLib;\hornetwrap{APGD};100.0;0.987;96.4;0.82;100.0;0.921;98.1;0.679;93.2;0.888;;;;
cifar10;$\ell_\infty$;C1;AdvLib;\hornetwrap{PGD};100.0;0.978;93.5;0.731;100.0;0.943;97.8;0.553;94.1;0.846;;;;
cifar10;$\ell_\infty$;C1;Foolbox;\hornetwrap{PGD};100.0;0.87;92.6;0.714;100.0;0.947;96.4;0.487;94.0;0.831;;;;
cifar10;$\ell_\infty$;C1;DeepRobust;\hornetwrap{PGD};100.0;0.859;91.0;0.718;100.0;0.93;95.3;0.489;93.9;0.834;;;;
cifar10;$\ell_\infty$;C1;Torchattacks;\hornetwrap{PGD};100.0;0.89;89.8;0.717;100.0;0.934;94.6;0.481;93.8;0.83;;;;
cifar10;$\ell_\infty$;C1;Foolbox;\hornetwrap{BIM};100.0;0.938;90.9;0.694;99.9;0.87;95.4;0.512;94.7;0.831;;;;
cifar10;$\ell_\infty$;C1;Original;\hornetwrap{FGSM$_ga-tdmi$};100.0;0.0;70.7;0.634;91.8;0.526;88.2;0.599;90.7;0.852;;;;
cifar10;$\ell_\infty$;C1;Original;\hornetwrap{FGSM$_ga-dmi$};100.0;0.0;70.0;0.611;89.7;0.514;85.4;0.559;90.2;0.824;;;;
cifar10;$\ell_\infty$;C1;Original;\hornetwrap{FGSM_ga};100.0;0.0;5.8;0.07;40.5;0.402;16.7;0.161;5.5;0.063;;;;
cifar10;$\ell_\infty$;C2;CleverHans;\hornetwrap{PGD};99.3;0.846;99.0;0.875;100.0;0.952;99.8;0.831;99.9;0.899;74.3;0.691;63.0;0.585
cifar10;$\ell_\infty$;C2;ART;\hornetwrap{BIM};99.4;0.798;99.9;0.938;99.9;0.929;99.9;0.845;99.3;0.879;59.9;0.544;52.6;0.477
cifar10;$\ell_\infty$;C2;ART;\hornetwrap{PGD};99.4;0.798;99.9;0.937;99.9;0.929;99.8;0.84;99.3;0.876;59.2;0.537;51.2;0.464
cifar10;$\ell_\infty$;C2;Torchattacks;\hornetwrap{APGD};99.7;0.797;100.0;0.988;100.0;0.802;100.0;0.836;100.0;0.876;;;;
cifar10;$\ell_\infty$;C2;Original;\hornetwrap{APGD};99.7;0.797;100.0;0.988;100.0;0.802;100.0;0.836;100.0;0.876;68.9;0.659;51.7;0.483
cifar10;$\ell_\infty$;C2;DeepRobust;\hornetwrap{PGD};99.8;0.815;100.0;0.943;100.0;0.948;99.3;0.725;95.5;0.777;;;;
cifar10;$\ell_\infty$;C2;Foolbox;\hornetwrap{PGD};99.8;0.821;100.0;0.908;100.0;0.958;99.8;0.693;99.3;0.756;;;;
cifar10;$\ell_\infty$;C2;AdvLib;\hornetwrap{PGD};99.9;0.802;100.0;0.958;99.9;0.785;99.9;0.772;99.7;0.848;;;;
cifar10;$\ell_\infty$;C2;Torchattacks;\hornetwrap{PGD};99.6;0.814;99.9;0.926;100.0;0.952;98.5;0.681;94.8;0.75;;;;
